"2010","ME","Desenvolvimento de estratégias de captura de descontinuidades para leis de conservação e problemas relacionados em dinâmica de fluídos","Giseli Aparecida Braz de Lima","Valdemir Garcia Ferreira","3/23/2010",2254235059702718
"2010","ME","Algoritmos evolutivos e modelos simplificados de proteínas para predição de estruturas terciárias","Paulo Henrique Ribeiro Gabriel","Alexandre Cláudio Botazzo Delbem","3/23/2010",3181954061121790
"2010","ME","Local branching aplicado ao problema de dimensionamento de lotes","Renato Andrade de Paiva","Franklina Maria Bragion de Toledo","3/22/2010",9511217744107054
"2010","ME","Operação de busca exata aos <i>K</i>-vizinhos mais próximos reversos em espaços métricos","Willian Dener de Oliveira","Caetano Traina Junior","3/19/2010",3269250048752122
"2010","ME","Provisão integrada de QoS relativa e absoluta em serviços computacionais interativos com requisitos de responsividade de tempo real","Priscila Tiemi Maeda Saito","Francisco José Monaco","3/4/2010",6652293216938994
"2010","DO","Metaheurísticas para o problema de agrupamento de dados em grafo","Mariá Cristina Vasconcelos Nascimento","André Carlos Ponce de Leon Ferreira de Carvalho","2/26/2010",1010810293243435
"2010","ME","Um sistema integrado para navegação autônoma de robôs móveis","Janderson Rodrigo de Oliveira","Roseli Aparecida Francelin Romero","2/25/2010",1957415564976795
"2010","DO","LEGAL-Tree: um algoritmo genético multi-objetivo para indução de árvores de decisão","Márcio Porto Basgalupp","André Carlos Ponce de Leon Ferreira de Carvalho","2/23/2010",4922142296922435
"2010","ME","Técnicas de classificação hierárquica multirrótulo","Ricardo Cerri","André Carlos Ponce de Leon Ferreira de Carvalho","2/23/2010",6266519868438512
"2010","ME","Abordagens evolutivas para agrupamento relacional de dados","Danilo Horta","Ricardo José Gabrielli Barreto Campello","2/22/2010",3329581484755059
"2010","ME","Seleção de atributos via agrupamento","Thiago Ferreira Covões","Eduardo Raul Hruschka","2/22/2010",3706277130006136
"2010","ME","Caminhadas determinísticas em redes complexas aplicadas em visão computacional","Wesley Nunes Gonçalves","Odemir Martinez Bruno","2/18/2010",4498921794690866
"2010","ME","Co-projeto de hardware/software do filtro de partículas para localização em tempo real de robôs móveis","Bruno Franciscon Mazzotti","Eduardo Marques","2/11/2010",5227754661152997
"2010","DO","Visão artificial e morfometria na análise e classificação de espécies biológicas","Rodrigo de Oliveira Plotze","Odemir Martinez Bruno","2/11/2010",4956606071703925
"2010","ME","MPPI: um modelo de procedência para subsidiar processos de integração","Bruno Tomazela","Cristina Dutra de Aguiar Ciferri","2/5/2010",3138756420077858
"2010","ME","Teste de integração contextual de programas orientados a objetos e a aspectos: critérios e automação","Vânia de Oliveira Neves","Paulo Cesar Masiero","1/25/2010",1527901631481888
"2009","ME","Avaliação de custo e eficácia de métodos e critérios de teste baseado em Máquinas de Estados Finitos","Flavio Dusse","José Carlos Maldonado","12/16/2009",1050336407353442
"2009","DO","Tratamento de tempo e dinamicidade em dados representados em espaços métricos","Renato Bueno","Caetano Traina Junior","12/15/2009",7189857417959804
"2009","ME","Uma abordagem de desenvolvimento de linha de produtos com uma arquitetura orientada a serviços","Paulo Gabriel Gadelha Queiroz","Rosana Teresinha Vaccare Braga","12/14/2009",1318090923173762
"2009","ME","Projeto de um sistema de desvio de obstáculos para robôs móveis baseado em computação reconfigurável","Jecel Mattos de Assumpção Júnior","Eduardo Marques","12/9/2009",7221154839649876
"2009","DO","Técnicas de aumento de eficiência para metaheurísticas aplicadas a otimização global contínua e discreta","Vinícius Veloso de Melo","Alexandre Cláudio Botazzo Delbem","12/7/2009",5205741481605855
"2009","ME","ChipCflow - em hardware dinamicamente reconfigurável","Vitor Fiorotto Astolfi","Jorge Luiz e Silva","12/4/2009",9968510969003342
"2009","ME","Modelos e algoritmos para composição de Web services com qualidade de serviço","Bruno Tardiole Kuehne","Marcos José Santana","11/27/2009",6380098950336268
"2009","DD","Geração e refinamento de malhas segmentadas a partir de imagens com textura","Mario Augusto de Souza Liziér","Luis Gustavo Nonato","11/23/2009",1257131701222446
"2009","DO","Contribuições para a construção de taxonomias de tópicos em domínios restritos utilizando aprendizado estatístico","Maria Fernanda Moura","Solange Oliveira Rezende","10/26/2009",5153883847843469
"2009","DO","Avaliação de desempenho de algoritmos paralelos para uma plataforma de mineração visual","Márcio Oliveira Almeida","Maria Cristina Ferreira de Oliveira","10/23/2009",8346425812757075
"2009","ME","Detecção de comunidades em redes complexas utilizando estratégia multinível","Leonardo Jesus Almeida","Alneu de Andrade Lopes","10/5/2009",5829888807718388
