"ID","ShortName","NAME","IDGRUPO","POS","RANK","CLASS"
6315,"ISSADS","IEEE International Symposium and School on Advance Distributed Systems",15,972,0.31746,"C"
6052,"CSD","Workshop on Critical Systems Development",27,973,0.31746,"C"
6013,"CAMP","International Workshop on Computer Architectures for Machine Perception",26,974,0.31667,"C"
6180,"WAIM","Interational Conference on Web Age Information Management",18,975,0.31579,"C"
5440,"HealthCom","International Workshop on Enterprise Networking and Computing in Health Care Industry ",4,976,0.31481,"C"
5558,"ISEAT","Workshop on Integration of Software Engineering and Agent Technology",7,977,0.30556,"C"
6424,"SEW","Annual Software Engineering Workshop",7,978,0.30556,"C"
6456,"UIC","International Conference on Ubiquitous Intelligence and Computing",28,979,0.30556,"C"
5924,"PSC","International Conference on Pervasive Systems and Computing ",28,980,0.30556,"C"
6365,"ISCRAM","Intelligent Human Computer Systems for Crisis Response and Management",13,981,0.30159,"C"
5589,"WiSME","Workshop in Software Model Engineering",7,982,0.29630,"C"
6337,"FEF","The Finite Elements in Flow Problems Conference",4,983,0.29412,"C"
5434,"DGO","International Conference on Digital Government Research",4,984,0.28889,"C"
6488,"ATT","Agents in Traffic and Transportation",4,985,0.28333,"C"
5723,"MLMTA","International Conference on Machine Learning and Applications",22,986,0.28333,"C"
5431,"CompLife","International Symposium on Computational Life Science",4,987,0.27778,"C"
5898,"CANPC","Workshop on Communication, Architecture, and Applications for Network-Based Parallel Computing",15,988,0.27586,"C"
5964,"SPEC","Workshop on Security and Privacy in E-commerce",25,989,0.27273,"C"
5857,"SAPIR","International Workshop on Service Assurance with Partial and Intermittent Resources",15,990,0.26667,"C"
5965,"SREIS","Symposium on Requirements Engineering for Information Security",25,991,0.26667,"C"
5861,"SIROCCO","Colloquium on Structural Information and Communication Complexity",15,992,0.25758,"C"
5832,"NetStore","Network Storage Symposium",15,993,0.25000,"C"
5430,"CoALa","Workshop on Contract Architectures and Languages",4,994,0.23529,"C"
5586,"WADS","Workshop on Architecting Dependable Systems",7,995,0.23077,"C"
5439,"CollECTeR","Collaborative Electronic Commerce Technology and Research ",4,996,0.22222,"C"
5958,"SAFEProcess","IFAC Symposioum on Fault Detection, Supervision and Safety of Technical Processes",25,997,0.22222,"C"
6314,"SMC","Sound and Music Computing Conference",4,998,0.20000,"C"
6312,"NIME","New Interfaces for Music Expression",4,999,0.20000,"C"
5701,"NeMLaP","Joint Conference on New Methods in Language Processing and Computational Natural Language Learning",30,1000,0.12121,"C"
