"1980-2579","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Incertezas (Faculdade Teológica Evangélica do Rio de Janeiro)","C ",2008
"1679-9437","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Inclusividade (Centro de Estudos Anglicanos)","B5",2008
"1982-3991","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Integração (Porto Alegre)","C ",2008
"1676-7640","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Intellèctus (UERJ. Online)","B5",2008
"1809-8479","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Interações : Cultura e Comunidade (Faculdade Católica de Uberlândia. Impresso)","B5",2008
"1431-8954","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Intercultural Pastoral Care and Counselling","B3",2008
"1679-5407","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Interlocuções (UNICAP)","C ",2008
"1872-5171","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","International Journal of Public Theology (Print)","B4",2008
"0020-8582","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","International Review of Mission","B2",2008
"1517-7807","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Itaici (São Paulo)","B5",2008
"0304-1042","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Japanese Journal of Religious Studies","B1",2008
"0142-064X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal for the Study of the New Testament","B1",2008
"8755-4178","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Feminist Studies in Religion","A2",2008
"1527-6457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Global Buddhism","B2",2008
"0022-197X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of International Affairs (New York)","B3",2008
"1089-6457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Journal of Sandplay Therapy","B5",2008
"1809-2454","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Kerygma (Engenheiro Coelho)","B5",2008
"0210-0533","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","La Vida Sobrenatural","B5",2008
"1619-1684","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lateinamerika-Analysen (Cessou em 2008. Cont. ISSN 1866-802X Journal of Politics in Latin America (Print))","B3",2008
"1807-5193","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Letra Magna","B5",2008
"1413-3024","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Locus (UFJF)","B5",2008
"0103-9512","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lumen (Recife)","B5",2008
"1516-1285","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lumen (São Paulo)","B5",2008
"0024-7499","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lutheran Quarterly (Gettysburg. 1949) (Cessou em 1977)","B1",2008
"0342-0914","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Lutherjahrbuch","B4",2008
"1025-2290","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","LWF Studies","B4",2008
"1676-7748","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Magis. Cadernos de Fé e Cultura","B5",2008
"0104-9313","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mana (UFRJ. Impresso)","B1",2008
"1517-0241","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mandrágora (São Bernardo do Campo)","B4",2008
"0214-2457","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Manresa (Madrid)","B2",2008
"1807-927X","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Margens (ABEP. Online)","B4",2008
"1806-3802","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Memória & Caminhada (UCB)","B4",2008
"0943-3058","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Method & Theory in the Study of Religion","B3",2008
"1518-0263","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Missioneira (Santo Ângelo)","B5",2008
"1518-3394","FILOSOFIA/TEOLOGIA:subcomissão TEOLOGIA           ","Mneme (Caicó. Online)","B5",2008
