"0195-6108","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Neuroradiology","B1",2008
"0002-9378","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Obstetrics and Gynecology (Print)","A2",2008
"0002-9483","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Physical Anthropology","B1",2008
"0363-6143","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Physiology. Cell Physiology","A1",2008
"0363-6135","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Physiology. Heart and Circulatory Physiology","A2",2008
"0363-6119","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Physiology. Regulatory, Integrative and Comparative Physiology","A2",2008
"0193-1849","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Physiology: Endocrinology and Metabolism","A1",2008
"0275-2565","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Primatology (Print)","A2",2008
"1046-7408","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Reproductive Immunology (1989)","B1",2008
"1073-449X","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Respiratory and Critical Care Medicine","A1",2008
"0363-5465","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Sports Medicine","A2",2008
"1600-6135","CIÊNCIAS BIOLÓGICAS I                             ","American Journal of Transplantation (Print)","A1",2008
"0740-2783","CIÊNCIAS BIOLÓGICAS I                             ","American Malacological Bulletin","B3",2008
"0003-0082","CIÊNCIAS BIOLÓGICAS I                             ","American Museum Novitates","B1",2008
"0939-4451","CIÊNCIAS BIOLÓGICAS I                             ","Amino Acids (Wien. Print)","A1",2008
"1619-9952","CIÊNCIAS BIOLÓGICAS I                             ","Amphibia (Rheinbach)","B5",2008
"0173-5373","CIÊNCIAS BIOLÓGICAS I                             ","Amphibia-Reptilia","B1",2008
"1083-446X","CIÊNCIAS BIOLÓGICAS I                             ","Amphibian & Reptile Conservation","B5",2008
"0365-0596","CIÊNCIAS BIOLÓGICAS I                             ","Anais Brasileiros de Dermatologia (Impresso)","B4",2008
"0001-3765","CIÊNCIAS BIOLÓGICAS I                             ","Anais da Academia Brasileira de Ciências (Impresso)","B1",2008
"1980-0258","CIÊNCIAS BIOLÓGICAS I                             ","Anais da Academia Pernambucana de Ciência Agronômica","B5",2008
"0301-8059","CIÊNCIAS BIOLÓGICAS I                             ","Anais da Sociedade Entomológica do Brasil (Impresso) (Cessou em 2000. Cont. ISSN 1519-566X Neotropical Entomology (Impresso)","B4",2008
"1413-1803","CIÊNCIAS BIOLÓGICAS I                             ","Anais do Museu Histórico Nacional","B5",2008
"0101-4714","CIÊNCIAS BIOLÓGICAS I                             ","Anais do Museu Paulista (Impresso)","B5",2008
"0003-2654","CIÊNCIAS BIOLÓGICAS I                             ","Analyst (London. 1877. Print)","A2",2008
"1677-3055","CIÊNCIAS BIOLÓGICAS I                             ","Analytica (São Paulo)","B5",2008
"0003-2670","CIÊNCIAS BIOLÓGICAS I                             ","Analytica Chimica Acta (Print)","A2",2008
"1618-2642","CIÊNCIAS BIOLÓGICAS I                             ","Analytical and Bioanalytical Chemistry","A2",2008
"0003-2697","CIÊNCIAS BIOLÓGICAS I                             ","Analytical Biochemistry (Print)","A2",2008
"0921-8912","CIÊNCIAS BIOLÓGICAS I                             ","Analytical Cellular Pathology (Cessou em 2003. Fundiu-se com ISSN 0884-6812 Analytical and Quantitative Cytology and Histology e ISSN 1570-5870 Cellular Oncology)","B5",2008
"0003-2719","CIÊNCIAS BIOLÓGICAS I                             ","Analytical Letters","B2",2008
"0340-2096","CIÊNCIAS BIOLÓGICAS I                             ","Anatomia, Histologia, Embryologia","B3",2008
"1552-4892","CIÊNCIAS BIOLÓGICAS I                             ","Anatomical Record. Part A, Discoveries in Molecular, Cellular, and Evolutionary Biology (Online) (Cessou em 2006. Fundiu-se com ISSN 1552-4914 e 1932-8494)","B1",2008
"0340-2061","CIÊNCIAS BIOLÓGICAS I                             ","Anatomy and Embryology (Cessou em 2006. Cont. ISSN 1863-2653 Brain Structure & Function (Print))","B2",2008
"0303-4569","CIÊNCIAS BIOLÓGICAS I                             ","Andrologia (Berlin)","B2",2008
"0003-2999","CIÊNCIAS BIOLÓGICAS I                             ","Anesthesia and Analgesia","B1",2008
"1433-7851","CIÊNCIAS BIOLÓGICAS I                             ","Angewandte Chemie (International ed. Print)","A1",2008
"0003-3197","CIÊNCIAS BIOLÓGICAS I                             ","Angiology (Roslyn, N.Y.)","B2",2008
