"1540-1650","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Chinese Journal of International Law (Boulder, Colo.)","A1",2008,
"0327-4063","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciclos en la Historia, la Economía y la Sociedad","B1",2008,
"0100-1965","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciência da Informação (Impresso)","B2",2008,
"1413-8123","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciência e Saúde Coletiva (Impresso)","B1",2008,
"1809-9742","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciência em Rede","B4",2008,
"0101-8515","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciência Hoje","B5",2008,
"0102-4868","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciências & Letras (FAPA. Impresso)","C ",2008,
"1678-8192","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciências Humanas em Revista (UFMA)","C ",2008,
"1677-9665","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciências Sociais em Perspectiva (Impresso)","C ",2008,
"1519-7050","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciências Sociais Unisinos","C ",2008,
"0187-8611","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ciudades (Puebla)","B1",2008,
"1519-6089","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Civitas: Revista de Ciências Sociais (Impresso)","B4",2008,
"0121-5612","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Colombia Internacional","B2",2008,
"0010-1931","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Columbia Journal of Transnational Law","A1",2008,
"1519-7654","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","ComCiência (UNICAMP)","B4",2008,
"1676-3475","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Communicare (São Paulo)","C ",2008,
"0279-1196","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Communicare (Wichita, Kan.)","C ",2008,
"0305-0068","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comparative Education (Print)","B1",2008,
"0010-4159","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comparative Politics","A2",2008,
"0195-6310","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comparative Social Research","B1",2008,
"0360-1315","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Computers and Education","B1",2008,
"1809-6794","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comunicação & Estratégia","B5",2008,
"1415-5842","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comunicação & Informação (UFG)","C ",2008,
"0102-6925","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comunicação & Política","B2",2008,
"1806-4981","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Comunicação, Mídia e Consumo (São Paulo. Impresso)","B5",2008,
"1536-5581","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Conflict Resolution Quarterly","A1",2008,
"1678-7145","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Confluências (Niterói)","B2",2008,
"0010-5945","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Conjuntura Economica (Rio de Janeiro)","B2",2008,
"1809-6182","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Conjuntura Internacional (Belo Horizonte. Online)","B5",2008,
"0103-2364","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Consciência (FACEPAL)","C ",2008,
"0094-3061","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Contemporary Sociology (Washington)","C ",2008,
"0102-8529","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Contexto Internacional (PUCRJ. Impresso)","A2",2008,
"1665-8965","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Contrahistorias","C ",2008,
"1807-9326","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Contributions to the History of Concepts (Rio de Janeiro)","A1",2008,
"1517-6975","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Convenit Internacional (USP)","B3",2008,
"0010-8812","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cornell International Law Journal","C ",2008,
"1808-2661","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Correio Braziliense","B5",2008,
"1749-8457","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Critica (London)","C ",2008,
"0011-152X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Critica Marxista (Roma)","A2",2008,
"0104-9321","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Critica Marxista (São Paulo)","B2",2008,
"1679-7655","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Crítica Social (Rio de Janeiro)","C ",2008,
"1981-2140","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","CSOnline (UFJF)","B4",2008,
"1474-578X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","CTIS Occasional Papers","B2",2008,
"0011-2356","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cuadernos Americanos","B2",2008,
"0326-7806","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cuadernos de Política Exterior Argentina","B3",2008,
,"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cuadernos sobrerelaciones internacionales:regionalismo y desarrollo","B2",2008,
"1157-996X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Cultures et Conflits (Revue)","A2",2008,
"1981-6030","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Custo Brasil","B5",2008,
"0011-5258","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Dados (Rio de Janeiro. Impresso)","A1",2008,
"1678-5363","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Data Venia","B4",2008,
"1517-3801","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Datagramazero (Rio de Janeiro)","B4",2008,
"1519-843X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Debates do NER (UFRGS. Impresso)","B3",2008,
"1415-1499","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Democracia Viva","C ",2008,
"1850-132X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Derecho Internacional y de la Integración","B2",2008,
"0120-3584","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Desarrollo y Sociedad","B1",2008,
"1806-9746","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Desvendando a História (São Paulo)","C ",2008,
"0961-4524","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Development in Practice (Print)","A1",2008,
"1600-0110","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Diálogos Latinoamericanos","B3",2008,
"1409-469X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Diálogos Revista Electrónica Semestral de Historia-Universidad de Costa Rica","B3",2008,
"0101-4218","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Digesto Econômico","B3",2008,
"0959-2296","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Diplomacy and Statecraft","B1",2008,
"1678-0779","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Direito em Revista (Rolândia)","C ",2008,
"1516-6104","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Direito, Estado e Sociedade (Impresso)","B3",2008,
"1806-8596","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Discutindo a Geografia (Cessou em 2008. Cont. ISSN 1984-0101 Conhecimento Prático Geografia)","C ",2008,
"0338-4454","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Documents d'Actualité Internationale (Cessou em 2004)","B3",2008,
"0769-3362","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Droit et Société (Paris. 1985)","C ",2008,
"1647-0737","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","E-cadernos CES (Online)","B2",2008,
"1984-2716","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","E-Civitas (Belo Horizonte)","B5",2008,
"1413-8050","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Economia Aplicada (Impresso)","B4",2008,
"0104-0618","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Economia e Sociedade (UNICAMP. Impresso)","B2",2008,
"1808-298X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Economia Política Internacional","C ",2008,
"1240-8093","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Economie Internationale (Paris)","B3",2008,
"1012-1498","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ecuador Debate","B3",2008,
"1415-9902","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Educação & Linguagem","C ",2008,
"0101-7330","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Educação & Sociedade (Impresso)","B2",2008,
"1519-387X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Educação Unisinos","C ",2008,
"1668-1789","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","El Debate Político","B3",2008,
"0261-3794","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Electoral Studies","A1",2008,
"1414-8609","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Em Pauta (Rio De Janeiro)","B5",2008,
"1806-5023","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Em Tese (Florianópolis)","C ",2008,
"0101-1723","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Ensaios FEE (Impresso)","B4",2008,
"1569-3430","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Environmental Sciences (Lisse. Print)","A2",2008,
"0798-1015","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Espacios (Caracas)","B3",2008,
"1516-9375","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Espaço e Geografia (UnB)","B3",2008,
"1519-5899","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Espaço Jurídico","B4",2008,
"1697-0764","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estrategia Global","B4",2008,
"0185-0164","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudios de Asia y Africa","A2",2008,
"1024-1884","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudios Internacionales (Ciudad de Guatemala)","B4",2008,
"0716-0240","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudios Internacionales (Santiago)","B2",2008,
"0326-7458","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudios Migratorios Latinoamericanos","C ",2008,
"0717-6392","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudios Político Militares","B3",2008,
"0103-0876","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos (UCGO. Impresso)","C ",2008,
"0103-4014","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos Avançados (USP. Impresso)","B1",2008,
"1414-9419","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos CEDHAL","B3",2008,
"1415-000X","CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        ","Estudos de Sociologia (Recife)","B1",2008,
